H,BRANCH,CITY,STATE,ZIP,PART NO,QTY, ,IVC NBR,DATE,COST,PRICE,RES.EXT,ACCT.,NAME,CUST PO#,SHIP DATE,SHIP NBR,COUNTRY CODE,ID,CURRENCY CODE,EXCHANGE RATE,ID,CURRENCY CODE,EXCHANGE DATE
L,TX,SAN DIEGO,CA,92121,SIT1602BI-13-18E-25.000000G,200, ,55955008,20200305,0.478,0.891,178.2,1000216,QUALCOMM TECHNOLOGIES INC,100223785,20200305,,US,BY,USD,1,SE,USD,20200305
L,WEB,SEOUL,EX,8390,SiT9121AI-2B1-33E100.000000G,16, ,55955840,20200305,5.85,9.24,147.84,5869251,ILWOL SEMICOM,IW200305-1213-2,20200305,,KR,BY,USD,1,SE,USD,20200305
L,WEB,EAST HARTFORD,CT,6108,SiT8021AI-J4-XXS-16.000000E,200, ,55958441,20200305,0.457,1.415,283,1612452,ADAPTIVE OPTICS ASSOCIATES,2020N-0146,20200305,,US,BY,USD,1,SE,USD,20200305
L,CA,SANTA CLARA,CA,95054,SiT8103AI-12-33E-50.00000X,26, ,55962665,20200305,0.6691,1.52,39.52,1102908,"ROCKET EMS, INC.",62613,20200305,,US,BY,USD,1,SE,USD,20200305
L,WEB,HK,EX,0,SIT2001BI-S2-33E-25.000000G,25, ,55919738,20200306,0.452,1.02,25.5,5961034,KAI TAK ELECTRONICS,18488298,20200306,,HK,BY,USD,1,SE,USD,20200306
L,TX,AUSTIN,TX,78746,SIT9122AI-2C2-33E300.000000X,71, ,55928868,20200306,3.511,5.09,361.39,1755479,ABACO SYSTEMS,4500220583,20200306,,US,BY,USD,1,SE,USD,20200306
L,TX,AUSTIN,TX,78746,SIT9120AI-2C2-33E100.000000X,165, ,55928868,20200306,1.756,2.322,383.13,1755479,ABACO SYSTEMS,4500220583,20200306,,US,BY,USD,1,SE,USD,20200306
L,WEB,HOUSTON,TX,77040,SIT2024AA-S2-XXE-10.000000G,103, ,55947899,20200306,1.124,1.77,182.31,1741310,GEOSPACE TECHNOLOGIES,138919,20200306,,US,BY,USD,1,SE,USD,20200306
L,CN,SUZHOU,JS,215000,SIT8008BI-23-33S-50.000000E,250, ,55965816,20200306,0.41,0.779,194.75,5697586,ASTEELFLASH SUZHOU CO LTD,CR185688,20200306,,CN,BY,USD,1,SE,USD,20200306
L,WEB,KAOHSIUNG CITY,EX,813,SiT8021AI-J4-XXS-16.000000E,50, ,55967158,20200306,0.457,1.788,89.4,5A21EC7,TRIGREATTECH,18518769,20200306,,TW,BY,USD,1,SE,USD,20200306
